📋 Planificación de Endpoints — Switch de Pagos Masivos | BanQuito;;;;;;;;
Módulo;Método;Endpoint;Descripción;Consumidor;Requisito;Campos Clave;Justificación;Estado
Ingesta;POST;/api/v1/pagos-masivos/lotes;Carga y recepción de archivos de pagos (Nómina/Proveedores). Valida horario de corte (18:00).;Banca Web Empresas;RF-01;archivo, rucEmpresa, cuentaMatriz, hashSeguridad;Punto de entrada principal del Switch. Recibe el archivo del cliente empresarial, valida la estructura y registra el lote con UUID único para trazabilidad. La validación de horario de corte protege la ventana operativa del banco.;Existente
Validación;POST;/api/v1/pagos-masivos/lotes/{uuid}/validar;Validación estructural: cruce de montos detalle vs cabecera, verificación de RUC y prevención de duplicidad (30 días).;Sistema / Orquestador;RF-02;uuidLote, hashVerificacion;Separa la ingesta de la validación para que el sistema pueda procesar archivos grandes de forma asíncrona. Detecta errores antes de afectar saldos: montos incorrectos, beneficiarios inexistentes o lotes duplicados.;Existente
Procesamiento;POST;/api/v1/pagos-masivos/lotes/{uuid}/procesar;Ejecución línea a línea de pagos. Interactúa con el Core para afectar saldos y validar disponibilidad.;Sistema / Worker;RF-03, RF-04;uuidLote, lineaSecuencial;Motor de dispersión. Llama al Core por cada beneficiario del lote, registrando el resultado (éxito/rechazo) por línea. El parámetro lineaSecuencial permite reanudar el procesamiento desde el punto de falla.;Existente
Seguimiento;GET;/api/v1/pagos-masivos/lotes/{uuid}/estado;Consulta del progreso del lote (Recibido, Validando, Procesando, Liquidando, Finalizado, Rechazado).;Banca Web / Cliente;RF-04, RF-08;estadoLote, totalLineas, lineasProcesadas, fechaInicio, fechaFin;Permite al cliente monitorear el avance de su lote en tiempo real sin necesidad de esperar al comprobante final. Reduce llamadas al call center del banco.;Existente
Liquidación;POST;/api/v1/pagos-masivos/lotes/{uuid}/liquidar;Cálculo de comisiones escalonadas e IVA. Ejecuta el Débito Global y créditos institucionales en el Core.;Sistema / Finalizador;RF-06, RF-07;subtotalComision, montoIVA, totalDebitar, cuentaComisionBanco;Cierre financiero del lote. Aplica la tarifa escalonada según volumen, calcula IVA y ejecuta el cargo por servicios sobre la cuenta matriz de la empresa.;Existente
Reportes;GET;/api/v1/pagos-masivos/lotes/{uuid}/novedades;Generación del archivo de salida detallando el estado (Exitoso/Rechazado) y motivo por cada línea enviada.;Banca Web / Cliente;RF-08;lineasExitosas, lineasRechazadas, motivosError, formatoSalida (JSON/CSV);Cumplimiento del requisito de entrega de novedades al cliente. Permite al departamento de nómina de la empresa saber qué pagos fallaron para reprocesarlos o notificar a los beneficiarios.;Existente
Comprobantes;GET;/api/v1/pagos-masivos/lotes/{uuid}/comprobante;Obtención del Comprobante de Liquidación Corporativa con el resumen financiero del lote.;Banca Web / Cliente;RF-08;montoTotalDispersado, costoServicio, ivaRetenido, numeroComprobante;Documento oficial que el cliente utiliza como respaldo contable y para conciliación financiera. Debe generarse solo una vez el lote esté en estado Finalizado.;Existente
Configuración;GET;/api/v1/config/esquema-tarifario;Consulta de la tabla de tarifas vigentes según volumen de transacciones.;Banca Web / UI;RF-06;rangoDesde, rangoHasta, tarifaUnitaria, vigenciaDesde;Permite al cliente empresarial conocer el costo de su lote antes de enviarlo, y al sistema calcularlo automáticamente durante la liquidación sin hardcodear las tarifas.;Existente
Seguimiento;GET;/api/v1/pagos-masivos/lotes;Listado paginado de lotes enviados por una empresa, con filtros por estado, tipo de pago y rango de fechas.;Banca Web Empresas / Back-Office;RF-04, RF-08;rucEmpresa, estadoLote, tipoPago (NOMINA/PROVEEDORES), fechaDesde, fechaHasta, pagina;El historial de lotes es indispensable para que la empresa consulte operaciones anteriores, detecte lotes pendientes de aprobación y realice conciliaciones mensuales sin depender del banco.;Nuevo
Ingesta;DELETE;/api/v1/pagos-masivos/lotes/{uuid};Cancelación de un lote en estado 'Recibido' o 'Validando' antes de que inicie el procesamiento. Libera el bloqueo de saldo si existía.;Banca Web Empresas;RF-01, RF-02;uuidLote, motivoCancelacion, usuarioSolicitante;Un operador de nómina puede enviar un archivo incorrecto. Si el lote aún no se ha procesado, debe poder cancelarlo sin intervención del banco. Sin este endpoint, un error humano requeriría un proceso manual en BD.;Nuevo
